module_id,prof_id,n_hours,degree,degree_year
118,70,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
119,70,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
120,70,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
120,113,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
121,39,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
122,60,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
122,110,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
123,35,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
124,35,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
125,85,2,Laurea in Informatica [420] Corsi di laurea - UNICO,2
126,85,1,Laurea in Informatica [420] Corsi di laurea - UNICO,2
126,85,2,Laurea in Informatica [420] Corsi di laurea - UNICO,2
127,85,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
127,85,1,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
127,93,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
127,93,1,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,1
128,59,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,1
129,29,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
130,29,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
131,88,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
132,88,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
133,21,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
134,110,3,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
134,110,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
135,68,1,Laurea in Informatica [420] Corsi di laurea - UNICO,2
135,68,2,Laurea in Informatica [420] Corsi di laurea - UNICO,2
136,44,2,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,1
136,44,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,1
137,62,3,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,1
137,90,3,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,1
137,92,3,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,1
138,62,4,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,1
139,77,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,2
