prof_id,week_day,hour_begin,hour_end,level,note,constraint
60,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
60,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
60,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
60,Thu,18:30,19:30,undesired,,"not (Thu, [18:30, 19:30])"
60,Fri,18:30,19:30,undesired,,"not (Fri, [18:30, 19:30])"
60,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
60,Fri,08:30,09:30,impossible,,"NOT (Fri, [08:30, 09:30])"
20,Fri,15:30,17:30,impossible,,"NOT (Fri, [15:30, 17:30])"
20,,,,,NO Tuesday. Monday mornings and Thursday and Friday mornings are preferred,"NOT Tue & OK (Mon, [-inf, 12:00]) & OK (Thu, [-inf, 12:00]) & OK (Fri, [-inf, 12:00])"
16,Mon,17:30,19:30,undesired,,"not (Mon, [17:30, 19:30])"
16,Tue,17:30,19:30,undesired,,"not (Tue, [17:30, 19:30])"
16,Wed,17:30,19:30,undesired,,"not (Wed, [17:30, 19:30])"
16,Thu,17:30,19:30,undesired,,"not (Thu, [17:30, 19:30])"
16,Fri,17:30,19:30,undesired,,"not (Fri, [17:30, 19:30])"
37,Mon,17:30,19:30,undesired,,"not (Mon, [17:30, 19:30])"
37,Tue,17:30,19:30,undesired,,"not (Tue, [17:30, 19:30])"
37,Wed,17:30,19:30,undesired,,"not (Wed, [17:30, 19:30])"
37,Thu,17:30,19:30,undesired,,"not (Thu, [17:30, 19:30])"
37,Fri,17:30,19:30,impossible,,"NOT (Fri, [17:30, 19:30])"
69,Mon,11:30,14:30,undesired,,"not (Mon, [11:30, 14:30])"
69,Mon,16:30,19:30,undesired,,"not (Mon, [16:30, 19:30])"
69,Mon,14:30,16:30,impossible,,"NOT (Mon, [14:30, 16:30])"
50,Mon,15:30,16:30,undesired,,"not (Mon, [15:30, 16:30])"
50,Tue,15:30,17:30,undesired,,"not (Tue, [15:30, 17:30])"
50,Wed,15:30,17:30,undesired,,"not (Wed, [15:30, 17:30])"
50,Thu,15:30,16:30,undesired,,"not (Thu, [15:30, 16:30])"
50,Fri,15:30,17:30,undesired,,"not (Fri, [15:30, 17:30])"
